kappa,rho,center_up_to_down,center_down_to_up,end_up_to_down,end_down_to_up,cost,direct_exp_weight,feedback_adj_rate,forgetting_factor,total_rewards,action_rewards,opinion_rewards,sp0_social_trust,sp1_social_trust,sp2_social_trust,sp0_request_rate,sp1_request_rate,sp2_request_rate,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,sp0_availability,sp1_availability,sp2_availability
3,0.440567183,"[0.8036476213298738, 0.8036476213298738, 0.8036476213298738]","[0.867696893196553, 0.867696893196553, 0.867696893196553]","[0.24985036037862302, 0.24985036037862302, 0.24985036037862302]","[0.0432251562550664, 0.0432251562550664, 0.0432251562550664]","[0.67691431036219, 0.67691431036219, 0.67691431036219]",0.414014847,0.083135027,0.934322847,27101.05436,-15602.52648,42703.58084,0.537565715,0.497074257,0.619500651,69.73248775,15.39251316,14.67539829,0.295866449,48.80602069,0.053068409,6.185458175,0.051605879,44.4083796,0.028240501,0.028207004,0.028207585
2,0.843580159,"[0.39160226037725804, 0.39160226037725804, 0.39160226037725804]","[0.9142222516424954, 0.9142222516424954, 0.9142222516424954]","[0.036107004508376124, 0.036107004508376124, 0.036107004508376124]","[0.4890829149261117, 0.4890829149261117, 0.4890829149261117]","[0.30563681717962027, 0.30563681717962027, 0.30563681717962027]",0.948540347,0.063319259,0.25874915,57137.82712,14600.84509,42536.98204,0.499197371,0.498548494,0.501923698,69.73071312,15.39343858,14.6762475,0.296095083,48.80529124,0.052992197,6.185995282,0.051526039,44.40849936,0.483716966,0.481488006,0.481791072
4,0.20108047,"[0.16700483471155167, 0.16700483471155167, 0.16700483471155167]","[0.618422134872526, 0.618422134872526, 0.618422134872526]","[0.4071360590681434, 0.4071360590681434, 0.4071360590681434]","[0.4783192230388522, 0.4783192230388522, 0.4783192230388522]","[0.2750458753481507, 0.2750458753481507, 0.2750458753481507]",0.269410151,0.815523685,0.129865607,-42737.86243,5668.664514,-48406.52695,0.433159336,0.490258919,0.443902758,69.72938487,15.39358374,14.67743059,0.29646888,48.80411541,0.053006714,6.186663038,0.051798222,44.40834694,0.41680352,0.417613283,0.416963346
9,0.531514661,"[0.32597838873043655, 0.32597838873043655, 0.32597838873043655]","[0.6390616542473435, 0.6390616542473435, 0.6390616542473435]","[0.011006417237222194, 0.011006417237222194, 0.011006417237222194]","[0.32601996751502155, 0.32601996751502155, 0.32601996751502155]","[0.5685605024546385, 0.5685605024546385, 0.5685605024546385]",0.874699113,0.919055803,0.225139149,-31958.98546,18660.92273,-50619.90818,0.461867828,0.491807591,0.482993789,69.72988931,15.39359463,14.67691526,0.296283796,48.80485211,0.053137362,6.186122301,0.051620396,44.40838323,0.392614045,0.391464816,0.392303248
4,0.822105297,"[0.8666404008865356, 0.8666404008865356, 0.8666404008865356]","[0.2138841002061963, 0.2138841002061963, 0.2138841002061963]","[0.346735000628978, 0.346735000628978, 0.346735000628978]","[0.6721886564232409, 0.6721886564232409, 0.6721886564232409]","[0.5198197877407074, 0.5198197877407074, 0.5198197877407074]",0.192178743,0.537225525,0.185566392,-59593.02252,-12325.92073,-47267.1018,0.412624157,0.486671354,0.432281381,69.72874251,15.39391762,14.67773907,0.296581383,48.80396661,0.052854291,6.18693885,0.051809109,44.40824896,0.134454799,0.133742188,0.13491468
6,0.85616845,"[0.18115760369226336, 0.18115760369226336, 0.18115760369226336]","[0.8554973605461419, 0.8554973605461419, 0.8554973605461419]","[0.64024349167943, 0.64024349167943, 0.64024349167943]","[0.7793167453818023, 0.7793167453818023, 0.7793167453818023]","[0.9087111259438098, 0.9087111259438098, 0.9087111259438098]",0.461584522,0.383825482,0.91140157,96025.60436,46313.11733,49712.48703,0.637261178,0.519629945,0.631260696,69.73356923,15.39249138,14.6743386,0.29537652,48.8068953,0.053101071,6.1849501,0.051460715,44.4086155,0.478480385,0.47876164,0.478094066
3,0.75864702,"[0.6500546172261238, 0.6500546172261238, 0.6500546172261238]","[0.6671736139245331, 0.6671736139245331, 0.6671736139245331]","[0.5039992746897042, 0.5039992746897042, 0.5039992746897042]","[0.2594548716023564, 0.2594548716023564, 0.2594548716023564]","[0.41769332921132446, 0.41769332921132446, 0.41769332921132446]",0.2576874,0.523531404,0.380020065,-58243.98747,-16665.40863,-41578.57884,0.404246278,0.483334779,0.429195849,69.72831065,15.3938523,14.67823625,0.296661223,48.8038904,0.053035747,6.186884413,0.051671203,44.40825621,0.144723898,0.144279369,0.144628126
9,0.531514661,"[0.32597838873043655, 0.32597838873043655, 0.32597838873043655]","[0.6390616542473435, 0.6390616542473435, 0.6390616542473435]","[0.011006417237222194, 0.011006417237222194, 0.011006417237222194]","[0.2764293702505529, 0.2764293702505529, 0.2764293702505529]","[0.5685605024546385, 0.5685605024546385, 0.5685605024546385]",0.874699113,0.919055803,0.225139149,-36121.42601,14498.31052,-50619.73653,0.452803656,0.489816936,0.481072765,69.72967157,15.39369987,14.67702776,0.296345491,48.80473598,0.053195427,6.186173108,0.051653058,44.40829614,0.35480225,0.353839049,0.354576375
2,0.542787442,"[0.6916942421346903, 0.6916942421346903, 0.6916942421346903]","[0.24288971077650787, 0.24288971077650787, 0.24288971077650787]","[0.17564476121217013, 0.17564476121217013, 0.17564476121217013]","[0.37763512739911675, 0.37763512739911675, 0.37763512739911675]","[0.923412347715348, 0.923412347715348, 0.923412347715348]",0.196025424,0.681075471,0.286471526,-36837.41775,7182.426562,-44019.84431,0.407603823,0.485154086,0.430018914,69.72874977,15.3938523,14.67779713,0.296650336,48.8037779,0.052912357,6.187044094,0.051631283,44.40838323,0.115882526,0.115790383,0.115344656
9,0.412900459,"[0.9108891511149705, 0.9108891511149705, 0.9108891511149705]","[0.25152371114119887, 0.25152371114119887, 0.25152371114119887]","[0.570752996597439, 0.570752996597439, 0.570752996597439]","[0.9438699612766505, 0.9438699612766505, 0.9438699612766505]","[0.9517289329506456, 0.9517289329506456, 0.9517289329506456]",0.06132632,0.84800595,0.627002454,-33159.1904,17553.17287,-50712.36327,0.350096176,0.478748996,0.367838493,69.72633279,15.39471239,14.67935402,0.297252767,48.80218109,0.053206315,6.187508619,0.051758302,44.40849211,0.196013791,0.19720773,0.196810706
5,0.177402713,"[0.9196399884484708, 0.9196399884484708, 0.9196399884484708]","[0.8423824228905141, 0.8423824228905141, 0.8423824228905141]","[0.8690468839369714, 0.8690468839369714, 0.8690468839369714]","[0.6850141735747457, 0.6850141735747457, 0.6850141735747457]","[0.3869669213704765, 0.3869669213704765, 0.3869669213704765]",0.953085948,0.353158169,0.251618924,32547.14077,312.5299885,32234.61078,0.451751858,0.488528665,0.491959557,69.72984939,15.39356923,14.67698058,0.296352749,48.80487752,0.052603883,6.186623117,0.051772818,44.40816912,0.313957685,0.313899111,0.313799093
3,0.75864702,"[0.6500546172261238, 0.6500546172261238, 0.6500546172261238]","[0.6671736139245331, 0.6671736139245331, 0.6671736139245331]","[0.5039992746897042, 0.5039992746897042, 0.5039992746897042]","[0.6374997902289032, 0.6374997902289032, 0.6374997902289032]","[0.41769332921132446, 0.41769332921132446, 0.41769332921132446]",0.2576874,0.523531404,0.380020065,-37982.27849,1321.529889,-39303.80838,0.423109291,0.486307595,0.433827667,69.72886228,15.39362729,14.67790964,0.296497913,48.80431138,0.052995827,6.186702958,0.051729269,44.40816186,0.308327164,0.307375504,0.308094103
4,0.822105297,"[0.8666404008865356, 0.8666404008865356, 0.8666404008865356]","[0.2138841002061963, 0.2138841002061963, 0.2138841002061963]","[0.346735000628978, 0.346735000628978, 0.346735000628978]","[0.23182694571092724, 0.23182694571092724, 0.23182694571092724]","[0.5198197877407074, 0.5198197877407074, 0.5198197877407074]",0.192178743,0.537225525,0.185566392,-68807.53454,-21540.52855,-47267.00599,0.408349596,0.485731419,0.431376852,69.72862638,15.39395754,14.67781528,0.296614045,48.80391218,0.052883324,6.186931591,0.051830884,44.40822718,0.050637271,0.050380403,0.050811867
3,0.722939803,"[0.13268306037411093, 0.13268306037411093, 0.13268306037411093]","[0.13170470306649804, 0.13170470306649804, 0.13170470306649804]","[0.28484718484804034, 0.28484718484804034, 0.28484718484804034]","[0.4690879114344716, 0.4690879114344716, 0.4690879114344716]","[0.5702484152838587, 0.5702484152838587, 0.5702484152838587]",0.474021825,0.358948879,0.474551386,50929.59621,8558.686029,42370.91018,0.521742453,0.499200558,0.543366569,69.7314716,15.39314825,14.67577935,0.295877336,48.80596988,0.052839775,6.185835602,0.051464344,44.40841227,0.298883905,0.301356015,0.30182192
7,0.205175516,"[0.7817656277306377, 0.7817656277306377, 0.7817656277306377]","[0.034566982220858335, 0.034566982220858335, 0.034566982220858335]","[0.30374396938830617, 0.30374396938830617, 0.30374396938830617]","[0.06977777551859617, 0.06977777551859617, 0.06977777551859617]","[0.23321842761710287, 0.23321842761710287, 0.23321842761710287]",0.571701435,0.562546986,0.435943509,-91749.5538,-41793.13464,-49956.41916,0.35701941,0.47208027,0.434120813,69.72748322,15.39411722,14.67879877,0.297064054,48.80306659,0.052959535,6.187421521,0.051486119,44.40840138,0.005776229,0.005735946,0.005825113
7,0.821446086,"[0.43979128131642936, 0.43979128131642936, 0.43979128131642936]","[0.6117174718901515, 0.6117174718901515, 0.6117174718901515]","[0.8618119764514267, 0.8618119764514267, 0.8618119764514267]","[0.6030727409571409, 0.6030727409571409, 0.6030727409571409]","[0.36851536825299264, 0.36851536825299264, 0.36851536825299264]",0.493119236,0.652307297,0.953069265,-53874.4738,-4574.298148,-49300.17565,0.272940957,0.455198355,0.33583605,69.72253674,15.39600073,14.68186173,0.298003992,48.80061332,0.053333333,6.188303393,0.052273635,44.40787153,0.278264852,0.278965705,0.279219851
4,0.407367427,"[0.7130263737402857, 0.7130263737402857, 0.7130263737402857]","[0.49575688667595386, 0.49575688667595386, 0.49575688667595386]","[0.8994774513691663, 0.8994774513691663, 0.8994774513691663]","[0.5838331760466099, 0.5838331760466099, 0.5838331760466099]","[0.2603297145664692, 0.2603297145664692, 0.2603297145664692]",0.035548506,0.119192044,0.729696007,29531.73237,-17706.39537,47238.12774,0.659058054,0.520302379,0.649364439,69.73374705,15.39244057,14.67421158,0.295307567,48.80721103,0.053003085,6.184939212,0.051471602,44.4084667,0.211717075,0.211537398,0.210880711
